first name,last name,state,type,birthday,phone,email
Jared,Polis,CO,Qualified,5/12/1975,202-225-2161,https://polis.house.gov/forms/writeyourrep/default.aspx
Scott,Tipton,CO,Qualified,11/9/1956,202-225-4761,https://tipton.house.gov/contact-me/email-me
Ken,Buck,CO,Qualified,2/16/1959,202-225-4676,
Richard,Blumenthal,CT,Qualified,2/13/1946,202-224-2823,https://www.blumenthal.senate.gov/contact/
Joe,Courtney,CT,Qualified,4/6/1953,202-225-2076,https://courtney.house.gov/email-joe1
Rosa,DeLauro,CT,Qualified,3/2/1943,202-225-3661,https://forms.house.gov/delauro/webforms/contact_form_email.shtml
James,Himes,CT,Qualified,7/5/1966,202-225-5541,https://himes.house.gov/contact-me/email-me
John,Larson,CT,Qualified,7/22/1948,202-225-2265,https://forms.house.gov/larson/contact_new.html
Christopher,Murphy,CT,Qualified,8/3/1973,202-224-4041,http://www.murphy.senate.gov/contact
Elizabeth,Esty,CT,Qualified,8/25/1959,202-225-4476,http://esty.house.gov/contact
Thomas,Carper,DE,Qualified,1/23/1947,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper
Chris,Coons,DE,Qualified,9/9/1963,202-224-5042,http://www.coons.senate.gov/contact/
John,Carney,DE,Qualified,5/20/1956,202-225-4165,https://forms.house.gov/carney/webforms/email-me.shtml
Bill,Nelson,FL,Qualified,9/29/1942,202-224-5274,http://www.billnelson.senate.gov/contact-bill
Gus,Bilirakis,FL,Qualified,2/8/1963,202-225-5755,https://bilirakis.house.gov/email-congressman-bilirakis/
Corrine,Brown,FL,Qualified,11/11/1946,202-225-0123,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml
Vern,Buchanan,FL,Qualified,5/8/1951,202-225-5015,https://buchanan.house.gov/email-me
Kathy,Castor,FL,Qualified,8/20/1966,202-225-3376,https://castor.house.gov/contact/contactform.htm
Ander,Crenshaw,FL,Qualified,9/1/1944,202-225-2501,https://forms.house.gov/write/crenshaw/email-me.shtml
Theodore,Deutch,FL,Qualified,5/7/1966,202-225-3001,https://teddeutch.house.gov/forms/writeyourrep/default.aspx
Mario,Diaz-Balart,FL,Qualified,9/25/1961,202-225-4211,http://mariodiazbalart.house.gov/contact-mario/write-rep-diaz-balart
Alcee,Hastings,FL,Qualified,9/5/1936,202-225-1313,https://alceehastings.house.gov/forms/writeyourrep/?zip5=33407&zip4=3224
John,Mica,FL,Qualified,1/27/1943,202-225-4035,https://mica.house.gov/contact-form
Jeff,Miller,FL,Qualified,6/27/1959,202-225-4136,https://jeffmiller.house.gov/contact/contactform.htm
Richard,Nugent,FL,Qualified,5/26/1951,202-225-1002,https://nugent.house.gov/contact/email-me
Bill,Posey,FL,Qualified,12/18/1947,202-225-3671,https://posey.house.gov/forms/writeyourrep/
Thomas,Rooney,FL,Qualified,11/21/1970,202-225-5792,https://rooney.house.gov/email-me
Ileana,Ros-Lehtinen,FL,Qualified,7/15/1952,202-225-3931,https://ros-lehtinen.house.gov/contact-me/email-me
Dennis,Ross,FL,Qualified,10/18/1959,202-225-1252,https://dennisross.house.gov/forms/writeyourrep/
Marco,Rubio,FL,Qualified,5/28/1971,202-224-3041,http://www.rubio.senate.gov/public/index.cfm/contact
Debbie,Wasserman Schultz,FL,Qualified,9/27/1966,202-225-7931,http://wassermanschultz.house.gov/contact/email-me.shtml
Daniel,Webster,FL,Qualified,4/27/1949,202-225-2176,https://webster.house.gov/contact/contactform.htm
Frederica,Wilson,FL,Qualified,11/5/1942,202-225-4506,https://wilsonforms.house.gov/contact-form
Alan,Grayson,FL,Qualified,3/13/1958,202-225-9889,https://grayson.house.gov/contact/email-me
Ted,Yoho,FL,Qualified,4/13/1955,202-225-5744,https://yoho.house.gov/contact/email-me
Ron,DeSantis,FL,Qualified,9/14/1978,202-225-2706,https://desantis.house.gov/contact/email-me
Patrick,Murphy,FL,Qualified,3/30/1983,202-225-3026,http://patrickmurphy.house.gov/contact/
Lois,Frankel,FL,Qualified,5/16/1948,202-225-9890,https://frankel.house.gov/contact/email-me
David,Jolly,FL,Qualified,10/31/1972,202-225-5961,https://jolly.house.gov/contact/email-me
Curtis,Clawson,FL,Qualified,9/28/1959,202-225-2536,
Gwen,Graham,FL,Qualified,1/31/1963,202-225-5235,
Carlos,Curbelo,FL,Qualified,3/1/1980,202-225-2778,
Sanford,Bishop,GA,Qualified,2/4/1947,202-225-3631,http://bishop.house.gov/contact
Tom,Graves,GA,Qualified,2/3/1970,202-225-5211,http://tomgraves.house.gov/contact/
John,Isakson,GA,Qualified,12/28/1944,202-224-3643,http://www.isakson.senate.gov/public/index.cfm/email-me
Henry,Johnson,GA,Qualified,10/2/1954,202-225-1605,https://hankjohnson.house.gov/contact-me/email-me
John,Lewis,GA,Qualified,2/21/1940,202-225-3801,https://johnlewis.house.gov/contact-me/email-me-zip
Tom,Price,GA,Qualified,10/8/1954,202-225-4501,https://tomprice.house.gov/contact-me
Austin,Scott,GA,Qualified,12/10/1969,202-225-6531,https://austinscott.house.gov/email-me/
David,Scott,GA,Qualified,6/27/1945,202-225-2939,https://davidscott.house.gov/contact/contactform.htm
Lynn,Westmoreland,GA,Qualified,4/2/1950,202-225-5901,https://westmoreland.house.gov/email-me
Rob,Woodall,GA,Qualified,2/11/1970,202-225-4272,https://woodall.house.gov/contact-me/email-me
Doug,Collins,GA,Qualified,8/16/1966,202-225-9893,https://dougcollins.house.gov/email-me
Buddy,Carter,GA,Qualified,9/6/1957,202-225-5831,
Jody,Hice,GA,Qualified,4/22/1960,202-225-4101,
Barry,Loudermilk,GA,Qualified,12/22/1963,202-225-2931,
Rick,Allen,GA,Qualified,11/7/1951,202-225-2823,
David,Perdue,GA,Qualified,12/10/1949,202-224-3521,
Mazie,Hirono,HI,Qualified,11/3/1947,202-224-6361,http://www.hirono.senate.gov/contact/email
Brian,Schatz,HI,Qualified,10/20/1972,202-224-3934,http://www.schatz.senate.gov/contact
Tulsi,Gabbard,HI,Qualified,4/12/1981,202-225-4906,https://forms.house.gov/formsgabbard/webforms/email-me.shtml
Mark,Takai,HI,Qualified,7/1/1967,202-225-2726,
James,Risch,ID,Qualified,5/3/1943,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email
Michael,Crapo,ID,Qualified,5/20/1951,202-224-6142,http://www.crapo.senate.gov/contact/email.cfm
Raúl,Labrador,ID,Qualified,12/8/1967,202-225-6611,https://labradorforms.house.gov/email-me
Michael,Simpson,ID,Qualified,9/8/1950,202-225-5531,http://simpson.house.gov/contact/
Amy,Klobuchar,MN,Qualified,5/25/1960,202-224-3244,http://www.klobuchar.senate.gov/public/email-amy
Alan,Franken,MN,Qualified,5/21/1951,202-224-5641,http://www.franken.senate.gov/?p=email_al
Keith,Ellison,MN,Qualified,8/4/1963,202-225-4755,http://ellison.house.gov/contact
John,Kline,MN,Qualified,9/6/1947,202-225-2271,http://kline.house.gov/contact/
Betty,McCollum,MN,Qualified,7/12/1954,202-225-6631,https://mccollum.house.gov/contact-me/email-me
Erik,Paulsen,MN,Qualified,5/14/1965,202-225-2871,https://paulsenforms.house.gov/contact-me
Collin,Peterson,MN,Qualified,6/29/1944,202-225-2165,https://collinpeterson.house.gov/contact-me/email-me
Timothy,Walz,MN,Qualified,4/6/1964,202-225-2472,http://walz.house.gov/contact
Richard,Nolan,MN,Qualified,12/17/1943,202-225-6211,https://nolan.house.gov/contact/email-me
Tom,Emmer,MN,Qualified,3/3/1961,202-225-2331,
Roger,Wicker,MS,Qualified,7/5/1951,202-224-6253,http://www.wicker.senate.gov/public/index.cfm/contact
Thad,Cochran,MS,Qualified,12/7/1937,202-224-5054,http://www.cochran.senate.gov/public/index.cfm/email-me
Gregg,Harper,MS,Qualified,6/1/1956,202-225-5031,https://harperforms.house.gov/forms/writeyourrep/
Steven,Palazzo,MS,Qualified,2/21/1970,202-225-5772,http://palazzo.house.gov/contact/
Bennie,Thompson,MS,Qualified,1/28/1948,202-225-5876,https://forms.house.gov/benniethompson/contact-form.shtml
Trent,Kelly,MS,Qualified,3/1/1966,202-225-4306,https://trentkelly.house.gov/contact
Jeff,Fortenberry,NE,Qualified,12/27/1960,202-225-4806,https://fortenberry.house.gov/contact-me1
Adrian,Smith,NE,Qualified,12/19/1970,202-225-6435,https://adriansmith.house.gov/contact-me/email-me
Deb,Fischer,NE,Qualified,3/1/1951,202-224-6551,http://www.fischer.senate.gov/public/?p=email-deb
Brad,Ashford,NE,Qualified,11/10/1949,202-225-4155,
Benjamin,Sasse,NE,Qualified,2/22/1972,202-224-4224,
Tom,Udall,NM,Qualified,5/18/1948,202-224-6621,http://www.tomudall.senate.gov/?p=contact
Martin,Heinrich,NM,Qualified,10/17/1971,202-224-5521,http://www.heinrich.senate.gov/contact/write-martin
Ben,Luj�n,NM,Likely,6/7/1972,202-225-6190,https://forms.house.gov/lujan/contact-form.shtml
Stevan,Pearce,NM,Unlikely,8/24/1947,202-225-2365,https://pearce.house.gov/contact-me/email-me
Michelle,Lujan Grisham,NM,Unlikely,10/24/1959,202-225-6316,http://lujangrisham.house.gov/contact/email-me/
John,Cornyn,TX,Qualified,2/2/1952,202-224-2934,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm
Joe,Barton,TX,Qualified,9/15/1949,202-225-2002,https://joebarton.house.gov/contact1/
Kevin,Brady,TX,Qualified,4/11/1955,202-225-4901,https://kevinbrady.house.gov/contact-form
Michael,Burgess,TX,Qualified,12/23/1950,202-225-7772,http://burgess.house.gov/contact/356345.htm
John,Carter,TX,Qualified,11/6/1941,202-225-3864,https://carter.house.gov/email-john2
K.,Conaway,TX,Qualified,6/11/1948,202-225-3605,https://conaway.house.gov/forms/writeyourrep/default.aspx
Henry,Cuellar,TX,Qualified,9/19/1955,202-225-1640,https://cuellar.house.gov/forms/writeyourrep/default.aspx
John,Culberson,TX,Qualified,8/24/1956,202-225-2571,https://culbersonforms.house.gov/forms/writeyourrep/default.aspx
Lloyd,Doggett,TX,Qualified,10/6/1946,202-225-4865,https://forms.house.gov/doggett/webforms/issue_subscribe.htm
Blake,Farenthold,TX,Qualified,12/12/1961,202-225-7742,http://farentholdforms.house.gov/contact/email.htm
Bill,Flores,TX,Qualified,2/25/1954,202-225-6105,https://billflores.house.gov/contact/
Louie,Gohmert,TX,Qualified,8/18/1953,202-225-3035,http://gohmert.house.gov/contact/
Kay,Granger,TX,Qualified,1/18/1943,202-225-5071,http://kaygranger.house.gov/contact-kay/email-me
Al,Green,TX,Qualified,9/1/1947,202-225-7508,https://algreen.house.gov/contact-me/email-me
Gene,Green,TX,Qualified,10/17/1947,202-225-1688,https://green.house.gov/contact-me/email-me
Jeb,Hensarling,TX,Qualified,5/29/1957,202-225-3484,https://hensarling.house.gov/contact/email-me
Rub�n,Hinojosa,TX,Qualified,8/20/1940,202-225-2531,https://hinojosa.house.gov/contact-me/email-me
Sheila,Jackson Lee,TX,Qualified,1/12/1950,202-225-3816,http://jacksonlee.house.gov/contact/
Eddie,Johnson,TX,Likely,12/3/1935,202-225-8885,https://ebjohnson.house.gov/contact/email-me
Sam,Johnson,TX,Likely,10/11/1930,202-225-4201,http://samjohnson.house.gov/contact/
Kenny,Marchant,TX,Likely,2/23/1951,202-225-6605,https://marchant.house.gov/contact/contactform.htm
Michael,McCaul,TX,Likely,1/14/1962,202-225-2401,https://mccaul.house.gov/contact/email-me
Randy,Neugebauer,TX,Likely,12/24/1949,202-225-4005,https://randy.house.gov/contact-me/email-me
Pete,Olson,TX,Likely,12/9/1962,202-225-5951,https://forms.house.gov/olson/contact-form.shtml
Ted,Poe,TX,Likely,9/10/1948,202-225-6565,https://poe.house.gov/index.cfm/contact-form#form_D05B44B5-B782-4DC7-BED6-FF0C90951FFF
Pete,Sessions,TX,Likely,3/22/1955,202-225-2231,https://sessions.house.gov/index.cfm/contact-form
Lamar,Smith,TX,Likely,11/19/1947,202-225-4236,http://lamarsmith.house.gov/contact/email-lamar
Mac,Thornberry,TX,Likely,7/15/1958,202-225-3706,https://thornberry.house.gov/forms/writeyourrep/
Ted,Cruz,TX,Likely,12/22/1970,202-224-5922,http://www.cruz.senate.gov/?p=email_senator
Randy,Weber,TX,Likely,7/2/1953,202-225-2831,https://weber.house.gov/contact/email-me
Beto,O'Rourke,TX,Unlikely,9/26/1972,202-225-4831,https://orourkeforms.house.gov/forms/writeyourrep/
Joaquin,Castro,TX,Unlikely,9/16/1974,202-225-3236,https://castro.house.gov/contact/email-me
Roger,Williams,TX,Unlikely,9/13/1949,202-225-9896,https://williams.house.gov/contact/email-me
Marc,Veasey,TX,Unlikely,1/3/1971,202-225-9897,https://veaseyforms.house.gov/forms/writeyourrep/
Filemon,Vela,TX,Unlikely,2/13/1963,202-225-9901,https://forms.house.gov/vela/webforms/email-me.shtml
John,Ratcliffe,TX,Unlikely,10/20/1965,202-225-6673,
Will,Hurd,TX,Unlikely,8/19/1977,202-225-4511,
Brian,Babin,TX,Unlikely,3/23/1948,202-225-1555,
