First Name,Last Name,State,Birthday,Phone,Email,Lead Status,Sales Contact,facebook,facebook_id,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Roger,Wicker,MS,7/5/1951,202-224-6253,http://www.wicker.senate.gov/public/index.cfm/contact,Unlikely,SenatorWicker,SenatorWicker,1.58E+14,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226,N00003280,S318,18203,400432,21926,Roger Wicker,gIQAC9ZCAP,29534,Roger Wicker
Lamar,Alexander,TN,7/3/1940,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,Qualified,SenAlexander,senatorlamaralexander,89927603836,lamaralexander,UChDLBjn5RWqgMmCSswT05IQ,A000360,1695,N00009888,S289,5,300002,15691,Lamar Alexander,gIQAzZQL9O,40304,Lamar Alexander
Thad,Cochran,MS,12/7/1937,202-224-5054,http://www.cochran.senate.gov/public/index.cfm/email-me,Qualified,SenThadCochran,,,sencochran,UCTnKP_ye7nI5DEn_zreaa3g,C000567,213,N00003328,S136,1200,300023,53312,Thad Cochran,gIQAJk599O,14009,Thad Cochran
Susan,Collins,ME,12/7/1952,202-224-2523,http://www.collins.senate.gov/public/index.cfm/email,Likely,SenatorCollins,susancollins,7593313361,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541,N00000491,S252,45738,300025,379,Susan Collins,gIQAPvDu9O,49703,Susan Collins
John,Cornyn,TX,2/2/1952,202-224-2934,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,Qualified,JohnCornyn,sen.johncornyn,75755694423,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,1692,N00024852,S287,93131,300027,15375,John Cornyn,gIQAy80L9O,40305,John Cornyn
Richard,Durbin,IL,11/21/1944,202-224-2152,http://www.durbin.senate.gov/public/index.cfm/contact,Unlikely,SenatorDurbin,SenatorDurbin,1.80E+14,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326,N00004981,S253,6741,300038,26847,Dick Durbin,gIQArl8V9O,15021,Dick Durbin
Michael,Enzi,WY,2/1/1944,202-224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,Unlikely,SenatorEnzi,mikeenzi,23068049436,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA,E000285,1542,N00006249,S254,45824,300041,558,Mike Enzi,gIQAAWfCAP,49706,Mike Enzi
Lindsey,Graham,SC,7/9/1955,202-224-5972,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham,Qualified,GrahamBlog,USSenatorLindseyGraham,2.58E+11,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,452,N00009975,S293,36782,300047,21992,Lindsey Graham,gIQAEdOu9O,29566,Lindsey Graham
James,Inhofe,OK,11/17/1934,202-224-4721,http://www.inhofe.senate.gov/contact,Qualified,InhofePress,jiminhofe,55018309421,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,583,N00005582,S236,5619,300055,27027,Jim Inhofe,gIQASu669O,15424,Jim Inhofe
Mitch,McConnell,KY,2/20/1942,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm,Likely,McConnellPress,mitchmcconnell,,,,M000355,1395,N00003389,S174,2351,300072,53298,Mitch McConnell,gIQAYR2b9O,14921,Mitch McConnell
Jeff,Merkley,OR,10/24/1956,202-224-3753,http://www.merkley.senate.gov/contact/,Qualified,SenJeffMerkley,jeffmerkley,74374931545,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,1900,N00029303,S322,1029842,412325,23644,Jeff Merkley,gIQAosnb9O,40908,Jeff Merkley
John,Reed,RI,11/12/1949,202-224-4642,http://www.reed.senate.gov/contact/,Unlikely,SenJackReed,SenJackReed,2.14E+14,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,949,N00000362,S259,24239,300081,27060,Jack Reed,gIQAT2gt9O,29142,Jack Reed (politician)
James,Risch,ID,5/3/1943,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,Unlikely,SenatorRisch,,,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896,N00029441,S323,1020034,412322,2919,Jim Risch,gIQAWIdW9O,40902,Jim Risch
Pat,Roberts,KS,4/20/1936,202-224-4774,http://www.roberts.senate.gov/public/index.cfm?p=EmailPat,Qualified,SenPatRoberts,SenPatRoberts,2.06E+14,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw,R000307,968,N00005285,S260,16354,300083,26866,Pat Roberts,gIQAUECAAP,14852,Pat Roberts
Jefferson,Sessions,AL,12/24/1946,202-224-4124,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,Qualified,SenatorSessions,jeffsessions,23444159584,SenatorSessions,UCd5Nv9gL89TCR03kD2SfaIQ,S001141,1548,N00003062,S261,44441,300088,443,Jeff Sessions,gIQAHXOBAP,49700,Jeff Sessions
Jeanne,Shaheen,NH,1/28/1947,202-224-2841,http://www.shaheen.senate.gov/contact/,Likely,SenatorShaheen,SenatorShaheen,1.28E+14,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,1901,N00024790,S324,22850,412323,1663,Jeanne Shaheen,gIQAZP1b9O,40906,Jeanne Shaheen
Tom,Udall,NM,5/18/1948,202-224-6621,http://www.tomudall.senate.gov/?p=contact,Qualified,SenatorTomUdall,senatortomudall,1.06E+11,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,U000039,1567,N00006561,S326,10075,400413,22658,Tom Udall,gIQAv2eM9O,29924,Tom Udall
Mark,Warner,VA,12/15/1954,202-224-2023,http://www.warner.senate.gov/public//index.cfm?p=ContactPage#form_f9db6196-2dc7-4cda-8add-f8435a71318a,Unlikely,MarkWarner,MarkRWarner,7935122852,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,1897,N00002097,S327,7630,412321,535,Mark Warner,gIQAUqPM9O,40909,Mark Warner
Kirsten,Gillibrand,NY,12/9/1966,202-224-4451,http://www.gillibrand.senate.gov/contact/,Qualified,SenGillibrand,KirstenGillibrand,,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,1866,N00027658,S331,1022862,412223,65147,Kirsten Gillibrand,gIQAz4Kt9O,20735,Kirsten Gillibrand
Alan,Franken,MN,5/21/1951,202-224-5641,http://www.franken.senate.gov/?p=email_al,Qualified,,,,SenatorFranken,UCMFNp5ybWmz6IlSXmPacTOw,F000457,1969,N00029016,S332,23334,412378,108924,Al Franken,gIQAnCqo9O,40904,Al Franken
Chris,Coons,DE,9/9/1963,202-224-5042,http://www.coons.senate.gov/contact/,Likely,SenCoonsOffice,senatorchriscoons,2.55E+14,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,1984,N00031820,S337,9269028,412390,122834,Chris Coons,gIQAaKfTKP,40916,Chris Coons
Joe,Manchin,WV,8/24/1947,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,Qualified,Sen_JoeManchin,JoeManchinIII,1.02E+16,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,1983,N00032838,S338,62864,412391,7547,Joe Manchin III,gIQA82bVBP,40915,Joe Manchin
Robert,Aderholt,AL,7/22/1965,202-225-4876,http://aderholt.house.gov/email-me2/,Unlikely,Robert_Aderholt,RobertAderholt,19787529402,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,1460,N00003028,,45516,400004,441,Robert B. Aderholt,gIQAw6QSAP,29701,Robert Aderholt
Justin,Amash,MI,4/18/1980,202-225-3831,https://amash.house.gov/contact-me/email-me,Qualified,,repjustinamash,1.74E+14,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA,A000367,2029,N00031938,,1033767,412438,105566,Justin Amash,gIQAMkzZKP,21143,Justin Amash
Kelly,Ayotte,NH,6/27/1968,202-224-3324,http://www.ayotte.senate.gov/?p=contact,Qualified,,kellyayottenh,1.23E+14,SenatorAyotte,UCe_jD6bQuBwAo4CxwUm_ztw,A000368,2075,N00030980,S340,95241,412493,42352,Kelly A. Ayotte,gIQA6LfTKP,41106,Kelly Ayotte
Tammy,Baldwin,WI,2/11/1962,202-224-5653,http://www.baldwin.senate.gov/contact,Likely,SenatorBaldwin,TammyBaldwin,7357041101,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,1558,N00004367,S354,57884,400013,3470,Tammy Baldwin,gIQAgHwPAP,29940,Tammy Baldwin
Lou,Barletta,PA,1/28/1956,202-225-6511,https://barletta.house.gov/contact/email-me,Qualified,RepLouBarletta,CongressmanLouBarletta,1.92E+14,reploubarletta,UChViw1Iv0nY1b3Qq9Q0vDBQ,B001269,2054,N00025495,,29618,412469,47143,Lou Barletta,gIQA3fVUKP,21171,Lou Barletta
Joe,Barton,TX,9/15/1949,202-225-2002,https://joebarton.house.gov/contact1/,Unlikely,RepJoeBarton,RepJoeBarton,15617630596,repjoebarton,UC9zg5RmxfNdBfz4iZuzvWXg,B000213,62,N00005656,,5248,400018,27082,,gIQAhoxEAP,15085,Joe Barton
Karen,Bass,CA,10/3/1953,202-225-7084,https://bass.house.gov/contact-me/email-me,Unlikely,RepKarenBass,RepKarenBass,1.91E+14,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,B001270,1996,N00031877,,62502,412404,28963,,gIQA45LZKP,21110,Karen Bass
Xavier,Becerra,CA,1/26/1958,202-225-6235,http://becerraforms.house.gov/forms/writeyourrep/,Qualified,RepBecerra,XavierBecerra,90311772229,XavierBecerra,UCoY0rJzkgkl1TmoKTUKTI6w,B000287,70,N00009774,,26567,400021,26754,Xavier Becerra,gIQAenAR9O,29316,Xavier Becerra
Dan,Benishek,MI,4/20/1952,202-225-4735,https://benishek.house.gov/contact-me/email-me,Qualified,CongressmanDan,CongressmanDan,1.24E+14,,,B001271,2027,N00031934,,61860,412436,123056,Dan Benishek,gIQAOvErKP,21141,Dan Benishek
Michael,Bennet,CO,11/28/1964,202-224-5852,http://www.bennet.senate.gov/contact/email,Likely,SenBennetCo,senatorbennet,97172997732,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,1965,N00030608,S330,1031622,412330,110942,Michael Bennet,gIQA8vao9O,40910,Michael Bennet
Gus,Bilirakis,FL,2/8/1963,202-225-5755,https://bilirakis.house.gov/email-congressman-bilirakis/,Qualified,RepGusBilirakis,GusBilirakis,1.35E+14,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,1838,N00027462,,1022873,412250,17318,Gus M. Bilirakis,gIQAjtHPAP,20758,Gus Bilirakis
Rob,Bishop,UT,7/13/1951,202-225-0453,https://robbishop.house.gov/contact/contactform.htm,Unlikely,RepRobBishop,RepRobBishop,,CongressmanBishop,UCJC2BXNGQEUom7Tp7FKfxlQ,B001250,1753,N00025292,,1003621,400029,50544,Rob Bishop,gIQALHQPAP,20357,Rob Bishop
Sanford,Bishop,GA,2/4/1947,202-225-3631,http://bishop.house.gov/contact,Unlikely,SanfordBishop,sanfordbishop,3.67E+11,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,B000490,91,N00002674,,26194,400030,26817,,gIQATrCOAP,29339,Sanford Bishop
Diane,Black,TN,1/16/1951,202-225-4231,https://black.house.gov/contact-me/email-me,http://black.house.gov/rss.xml,RepDianeBlack,DianeBlackTN06,1.86E+14,RepDianeBlack,UCREZGYWeFh6-gfodmoWVUFg,B001273,2063,N00031539,,9268964,412478,25292,,gIQAtZuYKP,21180,Diane Black
Marsha,Blackburn,TN,6/6/1952,202-225-2811,https://blackburn.house.gov/contactform/email.htm,http://blackburn.house.gov/news/rss.aspx,MarshaBlackburn,marshablackburn,6470828395,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,1748,N00003105,,31226,400032,25186,Marsha Blackburn,gIQALZuKAP,20351,Marsha Blackburn
Earl,Blumenauer,OR,8/16/1948,202-225-4811,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,BlumenauerMedia,,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,B000574,99,N00007727,,43809,400033,367,Earl Blumenauer,gIQAqvaOAP,29588,Earl Blumenauer
Richard,Blumenthal,CT,2/13/1946,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,SenBlumenthal,2.90E+14,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,2076,N00031685,S341,21799,412490,1568,Richard Blumenthal,gIQAeNwz6O,41101,Richard Blumenthal
Roy,Blunt,MO,1/10/1950,202-224-5721,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,http://www.blunt.senate.gov/public/?a=rss.feed,RoyBlunt,SenatorBlunt,1.42E+14,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,1464,N00005195,S342,45465,400034,418,Roy Blunt,gIQAUcQL9O,29735,Roy Blunt
John,Boozman,AR,12/10/1950,202-224-4843,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,JohnBoozman,7686715735,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,1687,N00013873,S343,92069,400040,27958,John Boozman,gIQAxKQPAP,20101,John Boozman
Madeleine,Bordallo,GU,5/31/1933,202-225-1188,https://bordallo.house.gov/contact-me,http://bordallo.house.gov/rss.xml,,madeleine.bordallo,1.62E+14,,,B001245,1723,N00024866,,1003568,400041,1751,,,,Madeleine Bordallo
Charles,Boustany,LA,2/21/1956,202-225-2031,https://boustanyforms.house.gov/contact-me/,http://www.house.gov/common/rss/index.cfm?rss=82,RepBoustany,RepBoustany,1.97E+14,boustanyla07,UC2S34gtxbiXDloza9EgFAZA,B001255,1787,N00026595,,1013047,400636,35514,Charles Boustany Jr.,gIQAiMQPAP,20514,Charles Boustany
Barbara,Boxer,CA,11/11/1940,202-224-3553,https://www.boxer.senate.gov/contact/shareyourviews.html,,SenatorBoxer,senatorboxer,1.17E+14,SenatorBoxer,UCWDQBlCBh67UgfNvSXDvbmw,B000711,116,N00006692,S223,2470,300011,53274,Barbara Boxer,gIQArxPM9O,15011,Barbara Boxer
Kevin,Brady,TX,4/11/1955,202-225-4901,https://kevinbrady.house.gov/contact-form,http://kevinbrady.house.gov/common/rss/index.cfm?rss=49,RepKevinBrady,kevinbrady,9307301412,KBrady8,UC6Ng0uMQEBVgXO_HF0NbfXA,B000755,1468,N00005883,,45749,400046,361,,gIQATjbPAP,29760,Kevin Brady
Robert,Brady,PA,4/7/1945,202-225-4731,https://brady.house.gov/contact-me/email-me,http://brady.house.gov/rss.xml,RepBrady,RepRobertBrady,1.19E+11,BradyPA01,UCHbTbPH6iCtaA_AKPwDy04A,B001227,1469,N00001619,,55227,400047,2519,Robert A. Brady,gIQATngIAP,29777,Bob Brady
Mo,Brooks,AL,4/29/1954,202-225-4801,https://brooks.house.gov/email-me,http://brooks.house.gov/rss/press-releases.xml,RepMoBrooks,1.55E+14,1.55E+14,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g,B001274,1987,N00030910,,94888,412395,121610,Mo Brooks,gIQAdMkz6O,21193,Mo Brooks
Corrine,Brown,FL,11/11/1946,202-225-0123,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,http://corrinebrown.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw,RepCorrineBrown,congresswomanbrown,1.79E+14,CongresswomanBrown,UC6-GswVFgN05YYkPGVx2KEQ,B000911,132,N00002713,,26192,400048,26797,Corrine Brown,gIQAvFwPAP,29328,Corrine Brown
Vern,Buchanan,FL,5/8/1951,202-225-5015,https://buchanan.house.gov/email-me,http://buchanan.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=2,VernBuchanan,CongressmanBuchanan,67106719910,vernbuchanan,UCY4DEy41NxOTdcF8_XAVZvw,B001260,1840,N00027626,,1021626,412196,66247,Vern Buchanan,gIQA8OnhDP,20709,Vern Buchanan
Larry,Bucshon,IN,5/31/1962,202-225-4636,https://bucshon.house.gov/contact-me/email-me,http://bucshon.house.gov/rss.xml,RepLarryBucshon,RepLarryBucshon,1.36E+14,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ,B001275,2018,N00031227,,61837,412427,120335,Larry Bucshon,gIQAD7JXKP,21132,Larry Bucshon
Michael,Burgess,TX,12/23/1950,202-225-7772,http://burgess.house.gov/contact/356345.htm,http://burgess.house.gov/news/rss.aspx,MichaelCBurgess,michaelcburgess,6916472567,michaelcburgessmd,UCvvO8lo-Nkc31cEEElqQvQw,B001248,1751,N00025219,,1003620,400052,50120,,gIQAyRzBAP,20355,Michael C. Burgess
Richard,Burr,NC,11/30/1955,202-224-3154,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,http://www.burr.senate.gov/public/index.cfm?fuseaction=rss.feed,SenatorBurr,SenatorRichardBurr,1.33E+14,SenatorRichardBurr,UCOLLZpp-1womBSFDV2uLfag,B001135,153,N00002221,S300,31054,400054,21787,Richard Burr,gIQAMX709O,29548,Richard Burr
George,Butterfield,NC,4/27/1947,202-225-3101,https://butterfield.house.gov/email-congressman-butterfield,http://butterfield.house.gov/rss/press-releases.xml/,GKButterfield,congressmangkbutterfield,2.75E+14,GKBNC01,UCbodCVgLfcbaep49L1M-mqA,B001251,1761,N00027035,,1013540,400616,41077,G.K. Butterfield,gIQAA20hDP,20340,G. K. Butterfield
Ken,Calvert,CA,6/8/1953,202-225-1986,https://calvert.house.gov/contactform/,http://calvert.house.gov/news/rss.aspx,KenCalvert,70063393423,70063393423,RepKenCalvert,UC5MEj7YOX_QdKoqD_HRxP3A,C000059,165,N00007099,,26709,400057,26777,,gIQAORoVBP,29323,Ken Calvert
Shelley,Capito,WV,11/26/1953,202-224-6472,,,SenCapito,senshelley,8057864757,UCbiXdR4XQ3vD9Xp5lfR9QXw,UCbiXdR4XQ3vD9Xp5lfR9QXw,C001047,1676,N00009771,S372,83737,400061,11701,Shelley Moore Capito,gIQA3s9PAP,20146,Shelley Moore Capito
Lois,Capps,CA,1/10/1938,202-225-3601,https://capps.house.gov/contact-me/email-me,http://capps.house.gov/rss.xml,RepLoisCapps,loiscapps,1.69E+11,reploiscapps,UClsN2ngC28cgeqAY7mW1qKQ,C001036,1471,N00007232,,54075,400062,16886,,gIQAarASAP,29774,Lois Capps
Michael,Capuano,MA,1/9/1952,202-225-5111,http://www.house.gov/capuano/contact/email.shtml,,,RepMichaelCapuano,1.51E+14,RepMikeCapuano,UCvzAdbimlJksgZjEMQn0kuw,C001037,1564,N00000267,,56760,400063,18883,Michael Capuano,gIQAzL6PAP,29919,Mike Capuano
John,Carney,DE,5/20/1956,202-225-4165,https://forms.house.gov/carney/webforms/email-me.shtml,http://johncarney.house.gov/index.php?format=feed&amp;type=rss,JohnCarneyde,JohnCarneyDE,1.56E+14,RepJohnCarney,UCT9yU36lD-zOTJKhmX_w_dA,C001083,1999,N00030736,,94948,412407,53658,John C. Carney Jr.,gIQABIMZKP,21113,John Carney (politician)
André,Carson,IN,10/16/1974,202-225-4011,https://carson.house.gov/contact/email-me,http://carson.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,RepAndreCarson,CongressmanAndreCarson,1.24E+14,repandrecarson,UCprUnnEgM2VUGmAKSaZXCSw,C001072,1889,N00029513,,1027364,412258,84917,Andre Carson,gIQAPh8PAP,20757,André Carson
John,Carter,TX,11/6/1941,202-225-3864,https://carter.house.gov/email-john2,http://carter.house.gov/common/rss/?rss=40,JudgeCarter,judgecarter,1287257083,repjohncarter,UC9pkaOrhPfouzkJ8oAdI-1w,C001051,1752,N00025095,,1004257,400068,49296,John Carter,gIQAcLQNAP,20356,John Carter (Texas politician)
Bill,Cassidy,LA,9/28/1957,202-224-5824,,,,,,SenatorBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g,C001075,1925,N00030245,S373,1030546,412269,69494,Bill Cassidy,gIQAPBLkDP,20919,Bill Cassidy
Kathy,Castor,FL,8/20/1966,202-225-3376,https://castor.house.gov/contact/contactform.htm,http://castor.house.gov/news/rss.aspx,USRepKCastor,USRepKathyCastor,1.82E+14,RepKathyCastor,UC_irxhmLqVenTFPxDxznG6g,C001066,1839,N00027514,,1022874,412195,53825,Kathy Castor,gIQAEoCLAP,20708,Kathy Castor
Steve,Chabot,OH,1/22/1953,202-225-2216,https://chabot.house.gov/forms/writeyourrep/?zip5=45202&zip4=3003,http://chabot.house.gov/common/rss/index.cfm?rss=49,RepSteveChabot,RepSteveChabot,2.05E+14,congressmanchabot,UCJpzm2DZDE1B6ruQLQc7q4g,C000266,186,N00003689,,36705,400071,21790,Steve Chabot,gIQAiE5TKP,29550,Steve Chabot
Jason,Chaffetz,UT,3/26/1967,202-225-7751,https://chaffetz.house.gov/contact-me/email-me,http://chaffetz.house.gov/rss.xml,JasonInTheHouse,CongressmanJasonChaffetz,3.90E+14,JasonChaffetz,UCPRdJWDBUYfZaMYaPQfoNnQ,C001076,1956,N00028958,,1031362,412270,103482,Jason Chaffetz,gIQAm9WMAP,20949,Jason Chaffetz
Judy,Chu,CA,7/7/1953,202-225-5464,http://chu.house.gov/connect-with-me/email-judy,http://chu.house.gov/rss.xml,RepJudyChu,RepJudyChu,41228315130,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w,C001080,1970,N00030600,,92573,412379,16539,,gIQA1yiFAP,20955,Judy Chu
